"department","sub_department","department_id","category","sub_category","micro_category","title","description","skill_code","related_skills","bussiness_links","custom_tags","proficiency_level","job_titles","learning_resources","assesment_method","certification_qualifications","experience_project","skill_maps","skill_status","skill_importance","legal_compliance_relevance","sop_practice_link","performance_metrics","common_errors_tips","sme_contacts","sub_skills","skill_flow","tasklist","status","approve_status","sub_institute_id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"General Management","General Management","857","Technical Skills","Advisory","Advisory","Decarbonisation Consulting","Guide organisations in the development and integration of decarbonisation strategies that help them to achieve their sustainability goals. Assess current sustainability performance of organisations and their value chains and advise on how to develop and implement decarbonisation strategies that drive organisational change whilst meeting business and compliance targets.","CST-ADV-0025-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Carbon Project Development","Carbon Project Development","Carbon Credit Project Development","Analyse and identify carbon credit projects that generate carbon credits. Assess the feasibility and financial implications of projects and ensure carbon credit projects comply with carbon standards and methodologies, demonstrating additionality through estimated emissions reductions. Design and develop carbon credit projects that effectively reduce, remove, avoid and store greenhouse gas (GHG) emissions, in compliance with applicable carbon crediting standards, for the eventual issuance for carbon credits for future trading by the organisation.","CST-ADV-0020-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Carbon Project Development","Carbon Project Development","Decarbonisation Project Development","Design and plan projects aimed at reducing carbon emissions. Work with cross-functional teams to implement and manage carbon reduction initiatives, monitoring factors such as cost-effectiveness, regulatory compliance and tracking towards sustainability targets.","CST-ADV-0026-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Financial Intermediation","Financial Intermediation","Carbon Trading","Facilitate the buying and selling of carbon credits based on market analysis and insights, organisational or country credit utilisation and emission reduction strategies, external regulatory and reporting frameworks, and policies and regulations, in alignment with organisational, national and international sustainability goals.","CST-ADV-0023-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Financial Intermediation","Financial Intermediation","Deal Origination and Structuring","Identify potential carbon deals from both primary and secondary markets. Develop and structure agreements to enable optimal terms for parties involved in carbon deals, as well as ensuring regulatory compliance and alignment with sustainability and financial objectives of an organisation.","CST-ADV-0024-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Governance and Infrastructure","Governance and Infrastructure","Greenhouse Gas (GHG) Emissions Reduction Target Setting","Develop, set and monitor specific goals and objectives to reduce greenhouse gas (GHG) emissions for organisations. Track reduction goals over time, adjusting targets periodically to align with evolving emissions reduction goals and regulations. Support with emissions reduction strategy development and implementation for the achievement of reduction targets, where necessary.","CST-ADV-0027-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Governance and Infrastructure","Governance and Infrastructure","Measurement, Reporting and Verification (MRV) (For Carbon Credit Projects)","Systematically collect, quantify, report and verify data related to greenhouse gas (GHG) emissions and other environmental metrics stemming from carbon credit projects. Ensure data quality and accuracy to ascertain the integrity of carbon projects and compliance with carbon standards.","CST-ADV-0029-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Legal and Insurance","Legal and Insurance","Legal Advisory for Carbon Products and Activities","Provide legal advisory services for carbon products and activities, guiding organisations on how to navigate the complex regulatory landscapes of carbon markets. Ensure compliance with relevant laws, conduct due diligence on carbon products and mitigate risks associated with the contractual elements on carbon products and activities.","CST-ADV-0028-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Customer Orientation","Identify the needs of customers, both internal and external, to deliver an effective customer experience","CCS-CUO-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Building Inclusivity","Collaborate with stakeholders from different backgrounds or with different abilities, including diversity dimensions such as race, ethnicity, religion, gender orientation, age, physical and learning ability, education, socio-economic status and political belief, to understand the interests of diverse groups and build an inclusive work environment","CCS-BDI-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Collaboration","Manage relationships and work collaboratively and effectively with others to achieve goals","CCS-CLB-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"Sustainability Reporting and Assurance","Sustainability Reporting and Assurance","848","Critical Core Skills","Core Skills","Core Skills","Communication","Convey and exchange thoughts, ideas and information effectively through various mediums and approaches","CCS-CMC-A002-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Developing People","Empower others to learn and develop their capabilities to enhance their performance and achieve personal or professional goals","CCS-DVP-A002-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"Sustainability Reporting and Assurance","Sustainability Reporting and Assurance","848","Critical Core Skills","Core Skills","Core Skills","Influence","Influence behaviours, beliefs or attitudes in order to achieve desired outcomes and solutions","CCS-IFL-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Adaptability","Exercise flexibility in behaviours or approaches to respond to changes and evolving contexts","CCS-ADT-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Digital Fluency","Leverage digital technology tools, systems, and software across work processes and activities to solve problems, drive efficiency and facilitate information sharing","CCS-DGF-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"Sustainability Reporting and Assurance","Sustainability Reporting and Assurance","848","Critical Core Skills","Core Skills","Core Skills","Global Perspective","Operate in cross-cultural environments, demonstrating an awareness of the wider global context and markets to identify potential opportunities and risks","CCS-GBP-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Learning Agility","Deploy different learning approaches which enable continuous learning across different contexts to drive self-development and the achievement of long-term career goals","CCS-LGA-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Self Management","Take ownership of managing one's personal effectiveness, personal brand and holistic physical, mental, emotional and social well-being","CCS-SMT-A001-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"General Management","General Management","857","Critical Core Skills","Core Skills","Core Skills","Creative Thinking","Adopt diverse perspectives in combining ideas or information and making connections between different fields to create different ideas, improvements and solutions","CCS-CTH-A002-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"Sustainability Reporting and Assurance","Sustainability Reporting and Assurance","848","Critical Core Skills","Core Skills","Core Skills","Decision Making","Choose a course of action from several alternatives developed through a structured process in order to achieve intended goals","CCS-DCM-A002-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"Sustainability Reporting and Assurance","Sustainability Reporting and Assurance","848","Critical Core Skills","Core Skills","Core Skills","Problem Solving","Generate effective and efficient solutions to solve problems and capitalise on new opportunities","CCS-PRS-A002-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
"Sustainability Reporting and Assurance","Sustainability Reporting and Assurance","848","Critical Core Skills","Core Skills","Core Skills","Sense Making","Leverage sources of qualitative and quantitative information and data to recognise patterns, spot opportunities, infer insights and inform decisions","CCS-SMG-A002-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1","1",,"2025-07-16 18:27:19","2025-08-12 05:27:27",
